1677343758.476694 client started (55706): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1677343758.476764 on Darwin 22.3.0 Darwin Kernel Version 22.3.0: Mon Jan 30 20:39:46 PST 2023; root:xnu-8792.81.3~2/RELEASE_ARM64_T6020
1677343758.476802 using libevent 2.1.12-stable (select); utf8proc 2.8.0; ncurses 6.4
1677343758.480766 sending message 112 to peer 0x120008000 (10 bytes)
1677343758.480771 sending message 112 to peer 0x120008000 (17 bytes)
1677343758.480775 sending message 112 to peer 0x120008000 (5 bytes)
1677343758.480779 sending message 112 to peer 0x120008000 (9 bytes)
1677343758.480784 sending message 112 to peer 0x120008000 (15 bytes)
1677343758.480790 sending message 104 to peer 0x120008000 (0 bytes)
1677343758.480796 sending message 110 to peer 0x120008000 (0 bytes)
1677343758.480800 sending message 107 to peer 0x120008000 (4 bytes)
1677343758.480804 sending message 105 to peer 0x120008000 (7 bytes)
1677343758.480809 sending message 105 to peer 0x120008000 (22 bytes)
1677343758.480813 sending message 105 to peer 0x120008000 (42 bytes)
1677343758.480817 sending message 105 to peer 0x120008000 (342 bytes)
1677343758.480822 sending message 105 to peer 0x120008000 (10 bytes)
1677343758.480826 sending message 105 to peer 0x120008000 (66 bytes)
1677343758.480831 sending message 105 to peer 0x120008000 (14 bytes)
1677343758.480835 sending message 105 to peer 0x120008000 (15 bytes)
1677343758.480839 sending message 105 to peer 0x120008000 (57 bytes)
1677343758.480842 sending message 105 to peer 0x120008000 (34 bytes)
1677343758.480846 sending message 105 to peer 0x120008000 (19 bytes)
1677343758.480849 sending message 105 to peer 0x120008000 (14 bytes)
1677343758.480853 sending message 105 to peer 0x120008000 (117 bytes)
1677343758.480857 sending message 105 to peer 0x120008000 (17 bytes)
1677343758.480860 sending message 105 to peer 0x120008000 (18 bytes)
1677343758.480864 sending message 105 to peer 0x120008000 (13 bytes)
1677343758.480868 sending message 105 to peer 0x120008000 (17 bytes)
1677343758.480871 sending message 105 to peer 0x120008000 (20 bytes)
1677343758.480874 sending message 105 to peer 0x120008000 (16 bytes)
1677343758.480878 sending message 105 to peer 0x120008000 (60 bytes)
1677343758.480882 sending message 105 to peer 0x120008000 (22 bytes)
1677343758.480885 sending message 105 to peer 0x120008000 (67 bytes)
1677343758.480889 sending message 105 to peer 0x120008000 (72 bytes)
1677343758.480892 sending message 105 to peer 0x120008000 (8 bytes)
1677343758.480896 sending message 105 to peer 0x120008000 (22 bytes)
1677343758.480910 sending message 105 to peer 0x120008000 (30 bytes)
1677343758.480914 sending message 105 to peer 0x120008000 (37 bytes)
1677343758.480918 sending message 105 to peer 0x120008000 (34 bytes)
1677343758.480921 sending message 105 to peer 0x120008000 (35 bytes)
1677343758.480925 sending message 105 to peer 0x120008000 (19 bytes)
1677343758.480929 sending message 105 to peer 0x120008000 (38 bytes)
1677343758.480933 sending message 105 to peer 0x120008000 (27 bytes)
1677343758.480937 sending message 105 to peer 0x120008000 (24 bytes)
1677343758.480940 sending message 105 to peer 0x120008000 (24 bytes)
1677343758.480945 sending message 105 to peer 0x120008000 (22 bytes)
1677343758.480948 sending message 105 to peer 0x120008000 (12 bytes)
1677343758.480952 sending message 105 to peer 0x120008000 (13 bytes)
1677343758.480956 sending message 105 to peer 0x120008000 (33 bytes)
1677343758.480963 sending message 105 to peer 0x120008000 (19 bytes)
1677343758.480967 sending message 105 to peer 0x120008000 (11 bytes)
1677343758.480970 sending message 105 to peer 0x120008000 (8 bytes)
1677343758.480974 sending message 105 to peer 0x120008000 (32 bytes)
1677343758.480978 sending message 105 to peer 0x120008000 (30 bytes)
1677343758.480981 sending message 105 to peer 0x120008000 (36 bytes)
1677343758.480985 sending message 105 to peer 0x120008000 (72 bytes)
1677343758.480989 sending message 105 to peer 0x120008000 (29 bytes)
1677343758.480993 sending message 105 to peer 0x120008000 (28 bytes)
1677343758.480996 sending message 105 to peer 0x120008000 (25 bytes)
1677343758.481000 sending message 106 to peer 0x120008000 (0 bytes)
1677343758.481071 sending message 200 to peer 0x120008000 (4 bytes)
1677343758.481076 client loop enter
1677343758.484035 peer 0x120008000 message 207
1677343758.484056 sending message 208 to peer 0x120008000 (0 bytes)
1677343762.739487 peer 0x120008000 message 203
1677343762.739596 sending message 205 to peer 0x120008000 (0 bytes)
1677343762.740126 peer 0x120008000 message 204
1677343762.740171 client loop exit
